conv_layers,conv_filters,conv_kernel_sizes,fc_hidden_sizes,dropout_rates,fc_dropout,pool_kernel_size,activation_func,learning_rate,momentum,best_test_acc,final_train_acc,final_test_acc,epochs_completed,training_time,training_time_per_epoch
2,"[10, 20]","[5, 5]",[50],[0.5],True,2,relu,0.01,0.5,79.42,75.98833333333333,79.42,3,32.059349060058594,10.686449686686197
1,"[10, 20]","[5, 5]",[50],[0.5],True,2,relu,0.01,0.5,83.51,79.87666666666667,83.51,3,14.238868951797485,4.746289650599162
2,"[10, 20]","[5, 5]",[50],[0.5],True,2,relu,0.01,0.5,80.32,74.92,80.32,3,32.07768201828003,10.69256067276001
3,"[10, 20]","[5, 5]",[50],[0.5],True,2,relu,0.01,0.5,77.5,72.855,77.5,3,41.534862756729126,13.844954252243042
1,"[8, 16]","[5, 5]",[50],[0.5],True,2,relu,0.01,0.5,82.58,78.61,82.58,3,12.700878143310547,4.233626047770183
1,"[16, 32]","[5, 5]",[50],[0.5],True,2,relu,0.01,0.5,84.09,81.16,84.09,3,16.137099027633667,5.379033009211223
1,"[32, 64]","[5, 5]",[50],[0.5],True,2,relu,0.01,0.5,85.34,82.28,85.34,3,23.18508529663086,7.72836176554362
1,"[32, 64]","[3, 3]",[50],[0.5],True,2,relu,0.01,0.5,85.15,82.05166666666666,85.15,3,19.617064952850342,6.539021650950114
1,"[32, 64]","[5, 5]",[50],[0.5],True,2,relu,0.01,0.5,85.21,82.26166666666667,85.21,3,22.170769214630127,7.390256404876709
1,"[32, 64]","[5, 5]",[100],[0.5],True,2,relu,0.01,0.5,85.58,84.07666666666667,85.58,3,22.5192129611969,7.506404320398967
1,"[32, 64]","[5, 5]",[200],[0.5],True,2,relu,0.01,0.5,86.37,85.535,86.37,3,23.383023262023926,7.794341087341309
1,"[32, 64]","[5, 5]","[50, 50]",[0.5],True,2,relu,0.01,0.5,83.82,79.52333333333333,83.82,3,22.042647123336792,7.347549041112264
1,"[32, 64]","[5, 5]",[200],[0.2],True,2,relu,0.01,0.5,86.46,86.815,86.46,3,23.307865142822266,7.769288380940755
1,"[32, 64]","[5, 5]",[200],[0.5],True,2,relu,0.01,0.5,86.56,85.54666666666667,86.56,3,23.330257177352905,7.776752392450969
1,"[32, 64]","[5, 5]",[200],[0.8],True,2,relu,0.01,0.5,84.61,80.96833333333333,84.61,3,23.41729497909546,7.805764993031819
1,"[32, 64]","[5, 5]",[200],[0.5],True,2,relu,0.01,0.5,85.92,84.325,85.92,3,16.36213493347168,5.4540449778238935
1,"[32, 64]","[5, 5]",[200],[0.5],True,2,relu,0.01,0.5,86.06,85.445,86.06,3,21.87253499031067,7.290844996770223
1,"[32, 64]","[5, 5]",[200],[0.5],True,2,relu,0.01,0.5,85.75,84.79666666666667,85.75,3,23.31012797355652,7.770042657852173
1,"[32, 64]","[5, 5]",[200],[0.5],False,2,relu,0.01,0.5,85.88,86.81666666666666,85.88,3,21.669676065444946,7.223225355148315
1,"[32, 64]","[5, 5]",[200],[0.5],False,2,tanh,0.01,0.5,86.51,86.64,86.51,3,22.75168514251709,7.583895047505696
1,"[32, 64]","[5, 5]",[200],[0.5],False,2,leaky_relu,0.01,0.5,86.72,86.80833333333334,86.72,3,21.83370018005371,7.277900060017903
1,"[32, 64]","[5, 5]",[200],[0.5],False,2,leaky_relu,0.001,0.5,80.49,80.47833333333334,80.49,3,22.08872389793396,7.362907965977986
1,"[32, 64]","[5, 5]",[200],[0.5],False,2,leaky_relu,0.01,0.5,87.02,87.03166666666667,87.02,3,22.122977018356323,7.374325672785441
1,"[32, 64]","[5, 5]",[200],[0.5],False,2,leaky_relu,0.1,0.5,90.15,90.64666666666666,90.15,3,22.077361822128296,7.359120607376099
